init.started,init.stopped,participant,date,expName,psychopyVersion,OS,frameRate,instruction.started,instruction.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.duration,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop1.ran,currSlide,currImage,currText,lifeHappy.started,lifeHappy.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.duration,instruction_2.started,instruction_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.duration,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,instructionLoop2.ran,prac_getAnswer.started,prac_getAnswer.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,instructchoice,choice,outcome,outcomeAmount,currentWinnings,choiceKey_2.keys,choiceKey_2.rt,choiceKey_2.duration,prac_showChoice.started,prac_showChoice.stopped,prac_showResult.started,prac_showResult.stopped,ITI.started,ITI.stopped,pracFails,pracChoiceFails,pracEXPFails,pracHappyFails,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,gambleOutcome,doRating,InstructionText,EXPValue,EXPtext,HappyValue,HappyText,ISI.started,ISI.stopped,prac_trialEXP.started,prac_trialEXP.stopped,EXPResp_2.keys,EXPResp_2.rt,EXPResp_2.duration,EXPTextbox_2.text,Endresp_2.keys,Endresp_2.rt,Endresp_2.duration,prac_trialHappy.started,prac_trialHappy.stopped,happySlider_2.response,happySlider_2.rt,happyResp_2.keys,happyResp_2.rt,happyResp_2.duration,pracRest.started,pracRest.stopped,restKeyResp_2.keys,restKeyResp_2.rt,restKeyResp_2.duration,blockHappy.started,blockHappy.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappyResp.keys,blockHappyResp.rt,blockHappyResp.duration,blank.started,blank.stopped,getAnswer.started,getAnswer.stopped,choiceKey.keys,choiceKey.rt,choiceKey.duration,showChoice.started,showChoice.stopped,showResult.started,showResult.stopped,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,trialLoop.ran,trialEXP.started,trialEXP.stopped,EXPResp.keys,EXPResp.rt,EXPResp.duration,EXPTextbox.text,Endresp.keys,Endresp.rt,Endresp.duration,trialHappy.started,trialHappy.stopped,happySlider.response,happySlider.rt,happyResp.keys,happyResp.rt,happyResp.duration,blockRest.started,blockRest.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.duration,Debrief.started,Debrief.stopped,key_resp.keys,key_resp.rt,key_resp.duration,showWinnings.started,finalWinnings,cashBonus,showWinnings.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.duration,showHash.started,hashCode,showHash.stopped,goodbyeKeyResp.keys,goodbyeKeyResp.rt,goodbyeKeyResp.duration,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,logWinningsLoop.ran
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,9,example_certain.png,"Once you select the guaranteed choice, your selection will remain on the screen.",,,,,,,,121.2316,122.9338,space,1.6571,,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,10,black.png,"Please make your choices as fast as possible.
You will be given a break at the end of each block.",,,,,,,,122.9343,125.7649,space,2.8135,,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,11,black.png,"Sometimes you will be asked to estimate how many points you think you are going to win/lose on the next trial. Use the number keys to type, then press SPACE to lock in your response. What you estimate will have NO EFFECT on the points you win or lose on the next trials or on your success in the game, so feel free to estimate what you think is the most likely to happen! ",,,,,,,,125.7655,139.1112,space,13.3109,,0,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,12,black.png,You will also be asked to rate your mood *at this moment*. Use the LEFT and RIGHT ARROW keys to move the slider (press and hold them to slide gradually) and SPACE to lock in your response. First we will do a short practice round to make sure you understand the task. In this practice round we will tell you how to respond in each trial.,,,,,,,,139.1122,151.2146,space,12.0656,,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.2333,152.5856,FALSE,0,TRUE,0.5,,,0.955,-3.76,-5.67,-4.72,Select the guaranteed option,certain,certain,-4.72,-4.72,left,1.3096,,152.586,155.0836,155.0837,156.0892,156.0906,156.2852,0,0,0,0,0,0,0,0,1,win,No,Select the guaranteed option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.2859,157.386,FALSE,0,FALSE,0.5,,,1,2.43,0.43,1.43,Select the gamble option,gamble,win,2.43,-2.29,right,1.0639,,157.3863,159.891,159.891,160.8887,160.8897,161.0906,0,0,0,0,0,1,1,1,1,win,No,Select the gamble option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0913,162.2918,FALSE,0,TRUE,0.5,,,1.525,2.04,-1.01,0.52,Select the gamble option,gamble,lose,-1.01,-3.3,right,1.1636,,162.2923,164.7922,164.7922,165.7908,178.6328,178.8354,0,0,0,0,0,2,2,2,1,lose,Yes,Select the gamble option,-1.01,Enter -1.01,0.25,Indicate that you are somewhat unhappy.,165.7917,165.9945,165.9946,171.2656,"[""minus"",""1"",""period"",""0"",""1""]","[2.1399999999999864,2.57089999999107,2.6765000000000043,2.8867999999970095,3.017499999999984]","[0.1028999999910809,0.10490000000595501,0.10870000000298319,0.07679999999703568,0.06389999999106521]",-1.01 ,space,4.7017,,171.2659,178.6327,0.34,6.8182,space,6.8073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.8362,180.5336,FALSE,0,TRUE,0.34,,,1.285,2.39,-0.18,1.28,Select the guaranteed option,certain,certain,1.28,-2.02,left,1.6832,,180.5338,183.0355,183.0355,184.0403,184.0412,184.241,0,0,0,0,0,3,3,3,1,win,No,Select the guaranteed option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.2416,185.7401,FALSE,0,FALSE,0.34,,,0.635,4.75,3.48,4.11,Select the gamble option,gamble,win,4.75,2.73,right,1.4808,,185.7404,188.2401,188.2402,189.241,200.38,200.5807,0,0,0,0,0,4,4,4,1,win,Yes,Select the gamble option,0.54,Enter 0.54,0.75,Indicate that you are very happy.,189.2422,189.4421,189.4422,194.48,"[""0"",""period"",""5"",""4""]","[2.334099999994038,2.5532999999969945,3.1528999999910354,3.2542999999970164]","[0.09429999999701977,0.08779999999703136,0.14750000000000796,0.09199999999998454]",0.54 ,space,4.4737,,194.4802,200.38,0.84,5.3458,space,5.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9999,2024-01-23_09h54.03.351,Mmi_OpenLoopFixed,2023.2.2,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.5809,220.6266,space,20.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
